,emotion,pixels
0,6.0,[162. 155. 129. ...  66.  38.  26.]
1,8.0,[62. 58. 55. ... 57. 57. 57.]
2,4.0,[  4.   4.   4. ... 181. 185. 184.]
3,6.0,[221. 225. 226. ... 182. 182. 184.]
4,1.0,[109.  84.  54. ... 120. 100.  73.]
5,6.0,[  0.   0.   0. ... 207. 171. 121.]
6,3.0,[0. 0. 0. ... 0. 0. 0.]
7,8.0,[249. 252. 255. ... 246. 252. 252.]
8,7.0,[ 77.  76.  81. ... 139. 112. 101.]
9,6.0,[169. 169. 167. ...  47.  47.  49.]
10,3.0,[255. 244. 142. ...  14.  22.  25.]
11,7.0,[ 1.  1.  1. ... 14. 14. 14.]
12,5.0,[38. 35. 30. ... 16. 12. 13.]
13,7.0,[ 21.  21.  21. ... 157. 157. 157.]
14,1.0,[136. 143. 135. ...  70.  68.  56.]
15,1.0,[211. 218. 234. ...  33.  19.  18.]
16,6.0,[ 61.  55.  55. ... 202. 218. 218.]
17,7.0,[214. 207. 189. ...  23.  18.  22.]
18,2.0,[228. 230. 227. ... 142. 142. 140.]
19,2.0,[145. 102.  86. ... 122.  59.  50.]
20,4.0,[ 5.  1.  0. ... 14.  2.  4.]
21,6.0,[19. 17. 18. ... 19. 36. 62.]
22,5.0,[  8.   6.   7. ... 131.  48.  40.]
23,6.0,[228. 236. 199. ... 230. 235. 241.]
24,7.0,[  4.   4.   6. ... 253. 245. 243.]
25,3.0,[  0.   0.   0. ... 126. 159. 178.]
26,8.0,[204. 210. 210. ...  17.  20.  25.]
27,7.0,[ 82.  87.  65. ... 152. 198. 213.]
28,2.0,[255. 255. 255. ... 202. 139. 106.]
29,1.0,[ 38.  23.  16. ... 175. 188. 170.]
30,3.0,[ 46.  45.  51. ... 146. 100.  85.]
31,7.0,[ 75.  65.  53. ...  35.  82. 124.]
32,2.0,[148. 161.  69. ... 255.  79. 107.]
33,5.0,[  8.   7.   5. ... 226. 171. 141.]
34,2.0,[59. 57. 68. ...  5.  4.  0.]
35,7.0,[255. 255. 253. ...  54.  47.  31.]
36,4.0,[197. 197. 197. ... 213. 212. 217.]
37,4.0,[236. 236. 210. ... 251. 251. 251.]
38,5.0,[0. 0. 0. ... 0. 0. 0.]
39,6.0,[225. 238. 246. ... 124.  92.  69.]
40,2.0,[ 43.  32.   4. ... 222. 215. 197.]
41,5.0,[243. 244. 248. ...   0.   0.   2.]
42,1.0,[251. 251. 253. ... 192. 215. 197.]
43,1.0,[ 77. 109.  98. ...  32. 153. 170.]
44,2.0,[141. 132. 149. ...  19.  15.  16.]
45,5.0,[  0.   0.   4. ... 158. 104.  66.]
46,3.0,[ 8. 20. 16. ...  6. 40. 41.]
47,3.0,[ 0.  0.  0. ... 72. 27.  4.]
48,7.0,[35. 21. 12. ... 84. 84. 58.]
49,2.0,[16. 16. 14. ... 13. 13. 11.]
50,4.0,[ 90. 163. 255. ... 239. 196. 180.]
51,1.0,[  2.  16.  43. ... 212. 214. 209.]
52,8.0,[216. 205. 199. ... 255. 115. 146.]
53,1.0,[213. 213. 213. ... 236. 236. 236.]
54,2.0,[ 57. 100. 145. ...  56.  24.  45.]
55,1.0,[ 52.  91.  72. ... 206. 195. 199.]
56,5.0,[ 3.  4.  0. ... 55. 25. 23.]
57,7.0,[190. 205. 186. ... 246. 252. 240.]
